os_version,storage_device_count,storage_devices,cpu_percent,ram_total,ram_used,ram_percent,disk_read_bytes,disk_write_bytes,timestamp,hostname,os_type,total_power,cpu_power,ram_power,disk_base_power,disk_io_power,total_co2,cpu_co2,ram_co2,disk_base_co2,disk_io_co2,co2_factor,region
Ubuntu 24.04.1 LTS (Noble Numbat),2,"sda 476.9G
sdb 465.8G",0.0,7.661464691162109,1.0909233093261719,14.2391,695863296.0,32322560.0,2025-01-08 10:22:29.187180,192.168.1.14,Linux,145.09057690491068,10.0,2.625716493000412,16,58.25486848,1.1463410517270886e-05,1.3194444444444442e-06,3.4644870393755434e-07,2.111111111111111e-06,7.686406257777777e-06,0.475,global
Ubuntu 24.04.1 LTS (Noble Numbat),2,"sda 476.9G
sdb 465.8G",2.2,7.661464691162109,1.0833930969238281,14.1408,695863296.0,32351232.0,2025-01-08 10:22:31.590818,192.168.1.14,Linux,148.39723434299518,11.98,2.6234571270629883,16,58.25716224,1.1724665055376365e-05,1.5806944444444443e-06,3.461505931541442e-07,2.111111111111111e-06,7.686708906666666e-06,0.475,global
Ubuntu 24.04.1 LTS (Noble Numbat),2,"sda 476.9G
sdb 465.8G",0.0,7.661464691162109,1.0814437866210938,14.1154,695863296.0,32814080.0,2025-01-08 10:22:33.824156,192.168.1.14,Linux,145.15149588376738,10.0,2.6228733234535215,16,58.29419008,1.1468223643511228e-05,1.3194444444444442e-06,3.4607356351122846e-07,2.111111111111111e-06,7.691594524444443e-06,0.475,global
Ubuntu 24.04.1 LTS (Noble Numbat),2,"sda 476.9G
sdb 465.8G",2.2,7.661464691162109,1.0748558044433594,14.0294,695863296.0,32846848.0,2025-01-08 10:22:36.128702,192.168.1.14,Linux,148.45917266989053,11.98,2.620896665563202,16,58.29681152,1.1729558718928476e-05,1.5806944444444443e-06,3.4581275448403357e-07,2.111111111111111e-06,7.691940408888887e-06,0.475,global
Ubuntu 24.04.1 LTS (Noble Numbat),2,"sda 476.9G
sdb 465.8G",2.2,7.661464691162109,1.0748519897460938,14.0293,695863296.0,32846848.0,2025-01-08 10:22:38.303207,192.168.1.14,Linux,148.45916883149673,11.98,2.6208943671237948,16,58.29681152,1.1729558415662165e-05,1.5806944444444443e-06,3.458124512177229e-07,2.111111111111111e-06,7.691940408888887e-06,0.475,global
Ubuntu 24.04.1 LTS (Noble Numbat),2,"sda 476.9G
sdb 465.8G",0.0,7.661464691162109,1.0754890441894531,14.0376,695863296.0,33281024.0,2025-01-08 10:22:40.541635,192.168.1.14,Linux,145.21089333178298,10.0,2.6210851375946045,16,58.3315456,1.1472916555654842e-05,1.3194444444444442e-06,3.4583762232151024e-07,2.111111111111111e-06,7.696523377777776e-06,0.475,global
Ubuntu 24.04.1 LTS (Noble Numbat),2,"sda 476.9G
sdb 465.8G",0.0,7.661464691162109,1.07421875,14.0211,695863296.0,33301504.0,2025-01-08 10:22:43.427946,192.168.1.14,Linux,145.2129961248043,10.0,2.6207058950923923,16,58.333184,1.1473082694491356e-05,1.3194444444444442e-06,3.4578758338024616e-07,2.111111111111111e-06,7.696739555555554e-06,0.475,global
Ubuntu 24.04.1 LTS (Noble Numbat),2,"sda 476.9G
sdb 465.8G",0.0,7.661464691162109,1.0777091979980469,14.0666,695863296.0,33678336.0,2025-01-08 10:22:47.342657,192.168.1.14,Linux,145.26508734918798,10.0,2.6217516850227356,16,58.36333056,1.1477198351773832e-05,1.3194444444444442e-06,3.459255695516109e-07,2.111111111111111e-06,7.700717226666666e-06,0.475,global
Ubuntu 24.04.1 LTS (Noble Numbat),2,"sda 476.9G
sdb 465.8G",0.0,7.661464691162109,1.0777854919433594,14.0676,695863296.0,33698816.0,2025-01-08 10:22:49.465095,192.168.1.14,Linux,145.26786186112605,10.0,2.621774669416809,16,58.36496896,1.1477417562214715e-05,1.3194444444444442e-06,3.459286022147178e-07,2.111111111111111e-06,7.700933404444442e-06,0.475,global
Ubuntu 24.04.1 LTS (Noble Numbat),2,"sda 476.9G
sdb 465.8G",2.2,7.661464691162109,1.0738716125488281,14.0165,695863296.0,34120704.0,2025-01-08 10:22:51.572640,192.168.1.14,Linux,148.628864678689,11.98,2.620600166879654,16,58.39872,1.1742965855352175e-05,1.5806944444444443e-06,3.4577363312995434e-07,2.111111111111111e-06,7.705386666666665e-06,0.475,global
Ubuntu 24.04.1 LTS (Noble Numbat),2,"sda 476.9G
sdb 465.8G",0.0,7.661464691162109,1.0736274719238281,14.0133,695863296.0,34169856.0,2025-01-08 10:22:53.737970,192.168.1.14,Linux,145.3287085572871,10.0,2.6205266168186183,16,58.40265216,1.14822249774969e-05,1.3194444444444442e-06,3.457639286080121e-07,2.111111111111111e-06,7.705905493333333e-06,0.475,global
Ubuntu 24.04.1 LTS (Noble Numbat),2,"sda 476.9G
sdb 465.8G",2.2,7.661464691162109,1.0729141235351562,14.004,695863296.0,34169856.0,2025-01-08 10:22:55.798024,192.168.1.14,Linux,148.63495158666274,11.98,2.6203128619537353,16,58.40265216,1.1743446773730005e-05,1.5806944444444443e-06,3.457357248411178e-07,2.111111111111111e-06,7.705905493333333e-06,0.475,global
